id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,age_certification_num,weighted_rating
ts38511,Love,SHOW,2016,TV-MA,32,"['drama', 'comedy', 'romance']",['US'],3,tt4061080,7.7,41362,5.0,7.572
tm245271,Gantz:O,MOVIE,2016,NC-17,95,"['animation', 'scifi', 'action', 'drama', 'fantasy', 'thriller', 'horror']",['JP'],0,tt5923962,7.1,14501,6.0,7.009
tm134791,Unfriended,MOVIE,2015,R,82,"['thriller', 'horror', 'drama']",['US'],0,tt3901018,5.5,73854,5.0,5.614
ts21986,Good Witch,SHOW,2015,TV-G,43,"['scifi', 'comedy', 'drama', 'fantasy']",['US'],7,tt3906732,7.2,10392,1.0,7.047
ts41149,The Ranch,SHOW,2016,TV-MA,30,"['comedy', 'drama', 'western']",['US'],5,tt4998212,7.4,37890,5.0,7.309
ts52829,Paranoid,SHOW,2016,,44,"['crime', 'thriller', 'drama', 'european']",['GB'],1,tt5839454,6.7,8343,0.0,6.755
tm135106,In a Valley of Violence,MOVIE,2016,R,104,"['thriller', 'western', 'drama', 'crime', 'action']",['US'],0,tt3608930,6.0,18452,5.0,6.225
ts35775,Wet Hot American Summer: First Day of Camp,SHOW,2015,TV-MA,30,['comedy'],['US'],2,tt4341672,7.4,23674,5.0,7.267
ts41975,Shooter,SHOW,2016,TV-14,41,"['war', 'drama', 'action']",['US'],3,tt4181172,7.5,35547,4.0,7.388
tm196125,"Hello, My Name Is Doris",MOVIE,2015,R,95,"['romance', 'comedy', 'drama']",['US'],0,tt3766394,6.6,20377,5.0,6.656
ts41490,Hap and Leonard,SHOW,2016,TV-MA,42,"['action', 'drama', 'crime', 'thriller']",['US'],3,tt3729898,7.6,7577,5.0,7.225
